Study	Conditions	Patient	Subtype	GEOStudy	GEOSamples	ArrayExpressExperiment	ArrayExpressSample	ENAExperiment	ENARun	SampleId	Reads	Link	Comments
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185b	?	ERR978121	ERR978121	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978121/ERR978121.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185b	?	ERR978122	ERR978122	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978122/ERR978122.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215a	?	ERR978123	ERR978123	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978123/ERR978123.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215a	?	ERR978124	ERR978124	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978124/ERR978124.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215a	?	ERR978125	ERR978125	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978125/ERR978125.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215a	?	ERR978126	ERR978126	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978126/ERR978126.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215a	?	ERR978127	ERR978127	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978127/ERR978127.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215a	?	ERR978128	ERR978128	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978128/ERR978128.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215a	?	ERR978129	ERR978129	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978129/ERR978129.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215a	?	ERR978130	ERR978130	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978130/ERR978130.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215b	?	ERR978131	ERR978131	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978131/ERR978131.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215b	?	ERR978132	ERR978132	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978132/ERR978132.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215b	?	ERR978133	ERR978133	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978133/ERR978133.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215b	?	ERR978134	ERR978134	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978134/ERR978134.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215b	?	ERR978135	ERR978135	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978135/ERR978135.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215b	?	ERR978136	ERR978136	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978136/ERR978136.fastq.gz	
R12.5.4	CCs	2	NA	NA	NA	E-MTAB-3808	Sample_Adh-215b	?	ERR978137	ERR978137	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978137/ERR978137.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253a	?	ERR978138	ERR978138	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978138/ERR978138.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253a	?	ERR978139	ERR978139	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978139/ERR978139.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253a	?	ERR978140	ERR978140	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978140/ERR978140.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253a	?	ERR978141	ERR978141	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978141/ERR978141.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253a	?	ERR978142	ERR978142	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978142/ERR978142.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253a	?	ERR978143	ERR978143	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978143/ERR978143.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253a	?	ERR978144	ERR978144	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978144/ERR978144.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253a	?	ERR978145	ERR978145	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978145/ERR978145.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253b	?	ERR978146	ERR978146	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978146/ERR978146.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253b	?	ERR978147	ERR978147	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978147/ERR978147.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253b	?	ERR978148	ERR978148	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978148/ERR978148.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253b	?	ERR978149	ERR978149	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978149/ERR978149.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253b	?	ERR978150	ERR978150	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978150/ERR978150.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253b	?	ERR978151	ERR978151	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978151/ERR978151.fastq.gz	
R12.5.4	CCs	3	NA	NA	NA	E-MTAB-3808	Sample_Adh-253b	?	ERR978152	ERR978152	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978152/ERR978152.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265a	?	ERR978153	ERR978153	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978153/ERR978153.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265a	?	ERR978154	ERR978154	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978154/ERR978154.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265a	?	ERR978155	ERR978155	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978155/ERR978155.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265a	?	ERR978156	ERR978156	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978156/ERR978156.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265a	?	ERR978157	ERR978157	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978157/ERR978157.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265a	?	ERR978158	ERR978158	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978158/ERR978158.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265a	?	ERR978159	ERR978159	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978159/ERR978159.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265a	?	ERR978160	ERR978160	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978160/ERR978160.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265b	?	ERR978161	ERR978161	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978161/ERR978161.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265b	?	ERR978162	ERR978162	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978162/ERR978162.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265b	?	ERR978163	ERR978163	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978163/ERR978163.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265b	?	ERR978164	ERR978164	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978164/ERR978164.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265b	?	ERR978165	ERR978165	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978165/ERR978165.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265b	?	ERR978166	ERR978166	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978166/ERR978166.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265b	?	ERR978167	ERR978167	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978167/ERR978167.fastq.gz	
R12.5.4	CCs	4	NA	NA	NA	E-MTAB-3808	Sample_Adh-265b	?	ERR978168	ERR978168	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978168/ERR978168.fastq.gz	
R12.5.4	CCs	5	NA	NA	NA	E-MTAB-3808	Sample_Adh-354a	?	ERR978169	ERR978169	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978169/ERR978169.fastq.gz	
R12.5.4	CCs	5	NA	NA	NA	E-MTAB-3808	Sample_Adh-354a	?	ERR978170	ERR978170	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978170/ERR978170.fastq.gz	
R12.5.4	CCs	5	NA	NA	NA	E-MTAB-3808	Sample_Adh-354a	?	ERR978171	ERR978171	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978171/ERR978171.fastq.gz	
R12.5.4	CCs	5	NA	NA	NA	E-MTAB-3808	Sample_Adh-354a	?	ERR978172	ERR978172	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978172/ERR978172.fastq.gz	
R12.5.4	CCs	5	NA	NA	NA	E-MTAB-3808	Sample_Adh-354a	?	ERR978173	ERR978173	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978173/ERR978173.fastq.gz	
R12.5.4	CCs	5	NA	NA	NA	E-MTAB-3808	Sample_Adh-354a	?	ERR978174	ERR978174	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978174/ERR978174.fastq.gz	
R12.5.4	CCs	5	NA	NA	NA	E-MTAB-3808	Sample_Adh-354a	?	ERR978175	ERR978175	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978175/ERR978175.fastq.gz	
R12.5.4	CCs	5	NA	NA	NA	E-MTAB-3808	Sample_Adh-354b	?	ERR978176	ERR978176	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978176/ERR978176.fastq.gz	
R12.5.4	CCs	5	NA	NA	NA	E-MTAB-3808	Sample_Adh-354b	?	ERR978177	ERR978177	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978177/ERR978177.fastq.gz	
R12.5.4	CCs	5	NA	NA	NA	E-MTAB-3808	Sample_Adh-354b	?	ERR978178	ERR978178	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978178/ERR978178.fastq.gz	
R12.5.4	CCs	5	NA	NA	NA	E-MTAB-3808	Sample_Adh-354b	?	ERR978179	ERR978179	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978179/ERR978179.fastq.gz	
R12.5.4	CCs	5	NA	NA	NA	E-MTAB-3808	Sample_Adh-354b	?	ERR978180	ERR978180	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978180/ERR978180.fastq.gz	
R12.5.4	CCs	5	NA	NA	NA	E-MTAB-3808	Sample_Adh-354b	?	ERR978181	ERR978181	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978181/ERR978181.fastq.gz	
R12.5.4	CCs	5	NA	NA	NA	E-MTAB-3808	Sample_Adh-354b	?	ERR978182	ERR978182	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978182/ERR978182.fastq.gz	
R12.5.4	CSCs	1	NA	NA	NA	E-MTAB-3808	Sample_Sph-185a	?	ERR978183	ERR978183	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978183/ERR978183.fastq.gz	
R12.5.4	CSCs	1	NA	NA	NA	E-MTAB-3808	Sample_Sph-185a	?	ERR978184	ERR978184	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978184/ERR978184.fastq.gz	
R12.5.4	CSCs	1	NA	NA	NA	E-MTAB-3808	Sample_Sph-185a	?	ERR978185	ERR978185	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978185/ERR978185.fastq.gz	
R12.5.4	CSCs	1	NA	NA	NA	E-MTAB-3808	Sample_Sph-185a	?	ERR978186	ERR978186	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978186/ERR978186.fastq.gz	
R12.5.4	CSCs	1	NA	NA	NA	E-MTAB-3808	Sample_Sph-185a	?	ERR978187	ERR978187	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978187/ERR978187.fastq.gz	
R12.5.4	CSCs	1	NA	NA	NA	E-MTAB-3808	Sample_Sph-185a	?	ERR978188	ERR978188	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978188/ERR978188.fastq.gz	
R12.5.4	CSCs	1	NA	NA	NA	E-MTAB-3808	Sample_Sph-185a	?	ERR978189	ERR978189	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978189/ERR978189.fastq.gz	
R12.5.4	CSCs	1	NA	NA	NA	E-MTAB-3808	Sample_Sph-185b	?	ERR978190	ERR978190	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978190/ERR978190.fastq.gz	
R12.5.4	CSCs	1	NA	NA	NA	E-MTAB-3808	Sample_Sph-185b	?	ERR978191	ERR978191	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978191/ERR978191.fastq.gz	
R12.5.4	CSCs	1	NA	NA	NA	E-MTAB-3808	Sample_Sph-185b	?	ERR978192	ERR978192	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978192/ERR978192.fastq.gz	
R12.5.4	CSCs	1	NA	NA	NA	E-MTAB-3808	Sample_Sph-185b	?	ERR978193	ERR978193	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978193/ERR978193.fastq.gz	
R12.5.4	CSCs	1	NA	NA	NA	E-MTAB-3808	Sample_Sph-185b	?	ERR978194	ERR978194	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978194/ERR978194.fastq.gz	
R12.5.4	CSCs	1	NA	NA	NA	E-MTAB-3808	Sample_Sph-185b	?	ERR978195	ERR978195	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978195/ERR978195.fastq.gz	
R12.5.4	CSCs	1	NA	NA	NA	E-MTAB-3808	Sample_Sph-185b	?	ERR978196	ERR978196	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978196/ERR978196.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215a	?	ERR978197	ERR978197	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978197/ERR978197.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215a	?	ERR978198	ERR978198	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978198/ERR978198.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215a	?	ERR978199	ERR978199	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978199/ERR978199.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215a	?	ERR978200	ERR978200	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978200/ERR978200.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215a	?	ERR978201	ERR978201	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978201/ERR978201.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215a	?	ERR978202	ERR978202	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978202/ERR978202.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215a	?	ERR978203	ERR978203	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978203/ERR978203.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215b	?	ERR978204	ERR978204	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978204/ERR978204.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215b	?	ERR978205	ERR978205	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978205/ERR978205.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215b	?	ERR978206	ERR978206	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978206/ERR978206.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215b	?	ERR978207	ERR978207	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978207/ERR978207.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215b	?	ERR978208	ERR978208	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978208/ERR978208.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215b	?	ERR978209	ERR978209	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978209/ERR978209.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215b	?	ERR978210	ERR978210	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978210/ERR978210.fastq.gz	
R12.5.4	CSCs	2	NA	NA	NA	E-MTAB-3808	Sample_Sph-215b	?	ERR978211	ERR978211	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978211/ERR978211.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253a	?	ERR978212	ERR978212	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978212/ERR978212.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253a	?	ERR978213	ERR978213	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978213/ERR978213.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253a	?	ERR978214	ERR978214	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978214/ERR978214.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253a	?	ERR978215	ERR978215	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978215/ERR978215.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253a	?	ERR978216	ERR978216	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978216/ERR978216.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253a	?	ERR978217	ERR978217	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978217/ERR978217.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253a	?	ERR978218	ERR978218	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978218/ERR978218.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253b	?	ERR978219	ERR978219	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978219/ERR978219.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253b	?	ERR978220	ERR978220	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978220/ERR978220.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253b	?	ERR978221	ERR978221	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978221/ERR978221.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253b	?	ERR978222	ERR978222	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978222/ERR978222.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253b	?	ERR978223	ERR978223	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978223/ERR978223.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253b	?	ERR978224	ERR978224	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978224/ERR978224.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253b	?	ERR978225	ERR978225	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978225/ERR978225.fastq.gz	
R12.5.4	CSCs	3	NA	NA	NA	E-MTAB-3808	Sample_Sph-253b	?	ERR978226	ERR978226	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978226/ERR978226.fastq.gz	
R12.5.4	CSCs	4	NA	NA	NA	E-MTAB-3808	Sample_Sph-265a	?	ERR978227	ERR978227	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978227/ERR978227.fastq.gz	
R12.5.4	CSCs	4	NA	NA	NA	E-MTAB-3808	Sample_Sph-265a	?	ERR978228	ERR978228	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978228/ERR978228.fastq.gz	
R12.5.4	CSCs	4	NA	NA	NA	E-MTAB-3808	Sample_Sph-265a	?	ERR978229	ERR978229	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978229/ERR978229.fastq.gz	
R12.5.4	CSCs	4	NA	NA	NA	E-MTAB-3808	Sample_Sph-265a	?	ERR978230	ERR978230	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978230/ERR978230.fastq.gz	
R12.5.4	CSCs	4	NA	NA	NA	E-MTAB-3808	Sample_Sph-265a	?	ERR978231	ERR978231	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978231/ERR978231.fastq.gz	
R12.5.4	CSCs	4	NA	NA	NA	E-MTAB-3808	Sample_Sph-265a	?	ERR978232	ERR978232	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978232/ERR978232.fastq.gz	
R12.5.4	CSCs	4	NA	NA	NA	E-MTAB-3808	Sample_Sph-265a	?	ERR978233	ERR978233	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978233/ERR978233.fastq.gz	
R12.5.4	CSCs	4	NA	NA	NA	E-MTAB-3808	Sample_Sph-265b	?	ERR978234	ERR978234	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978234/ERR978234.fastq.gz	
R12.5.4	CSCs	4	NA	NA	NA	E-MTAB-3808	Sample_Sph-265b	?	ERR978235	ERR978235	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978235/ERR978235.fastq.gz	
R12.5.4	CSCs	4	NA	NA	NA	E-MTAB-3808	Sample_Sph-265b	?	ERR978236	ERR978236	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978236/ERR978236.fastq.gz	
R12.5.4	CSCs	4	NA	NA	NA	E-MTAB-3808	Sample_Sph-265b	?	ERR978237	ERR978237	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978237/ERR978237.fastq.gz	
R12.5.4	CSCs	4	NA	NA	NA	E-MTAB-3808	Sample_Sph-265b	?	ERR978238	ERR978238	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978238/ERR978238.fastq.gz	
